City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,balqash,46.8481,74.995,288.31,70,52,4.08,KZ,1714862109
84,puerto natales,-51.7236,-72.4875,273.89,83,55,3.51,CL,1714861944
85,rubiataba,-15.1644,-49.8033,296.0,51,0,0.65,BR,1714862109
86,hamilton,39.1834,-84.5333,298.7,81,100,5.14,US,1714861957
87,lompoc,34.6391,-120.4579,292.6,59,100,4.63,US,1714862110
88,yeppoon,-23.1333,150.7333,293.29,89,100,6.02,AU,1714862110
89,igarka,67.4667,86.5833,255.94,99,76,2.68,RU,1714862110
90,palikir - national government center,6.9248,158.1611,301.62,84,100,2.57,FM,1714862110
91,riberalta,-10.9833,-66.1,302.26,79,75,0.0,BO,1714862110
92,margaret river,-33.95,115.0667,288.34,79,78,4.22,AU,1714862011
93,edinburgh of the seven seas,-37.0676,-12.3116,287.29,78,45,15.62,SH,1714862110
94,papao,-17.75,-149.55,302.97,80,18,8.55,PF,1714862110
95,luderitz,-26.6481,15.1594,289.01,88,0,4.04,NA,1714862110
96,bethel,41.3712,-73.414,288.9,66,0,3.09,US,1714862088
97,hami,42.8,93.45,292.03,13,45,1.54,CN,1714862110
98,calatayud,41.3535,-1.6432,291.86,68,100,2.58,ES,1714862110
99,antalaha,-14.9003,50.2788,296.98,89,36,5.03,MG,1714862110
100,west island,-12.1568,96.8225,299.14,89,100,5.66,CC,1714862011
101,constantia,44.1833,28.65,282.53,79,14,5.52,RO,1714862046
102,uren',57.4552,45.7852,271.29,67,25,2.38,RU,1714861938
103,alice springs,-23.7,133.8833,276.9,87,25,0.0,AU,1714862111
104,beledweyne,4.7358,45.2036,299.67,77,97,3.67,SO,1714862111
105,tiksi,71.6872,128.8694,268.19,96,100,2.25,RU,1714861998
106,belmonte,-15.8631,-38.8828,298.26,83,8,3.34,BR,1714862111
107,la manga del mar menor,37.6413,-0.7165,292.15,72,0,3.09,ES,1714862111
108,izhevsk,56.85,53.2333,272.22,71,12,2.68,RU,1714862111
109,port mathurin,-19.6833,63.4167,298.82,76,16,8.19,MU,1714862111
110,hadibu,12.65,54.0333,302.34,77,86,1.16,YE,1714862111
111,kailua-kona,19.6406,-155.9956,301.13,72,75,5.66,US,1714862111
112,hakha,22.65,93.6167,289.04,86,78,1.53,MM,1714862111
113,kavala,40.9397,24.4019,285.8,73,66,2.43,GR,1714862111
114,katsuura,35.1333,140.3,293.39,74,17,6.96,JP,1714862112
115,chernyshevskiy,63.0128,112.4714,272.77,86,100,2.32,RU,1714862112
116,aliganj,27.5,79.1833,303.34,10,8,3.03,IN,1714862112
117,tolanaro,-25.0319,46.9987,294.19,73,40,5.14,MG,1714862066
118,santa terezinha,-29.9002,-50.0904,293.99,93,100,1.61,BR,1714862112
119,whitehorse,60.7161,-135.0538,288.58,26,75,8.75,CA,1714862112
120,barentu,15.1139,37.5928,298.88,23,7,1.54,ER,1714862112
121,afaahiti,-17.75,-149.2833,302.08,81,48,8.11,PF,1714862112
122,longonjo,-12.9067,15.2533,288.07,64,0,1.11,AO,1714862112
123,zemio,5.0314,25.1361,294.13,97,95,1.38,CF,1714862112
124,tralee,52.2704,-9.7026,281.26,91,91,1.05,IE,1714862112
125,ancud,-41.8697,-73.8203,279.13,90,92,5.67,CL,1714861953
